"country","global_region","disagree_safe_pct","disagree_effective_pct"
"Nicaragua","Americas",0.0283224400871459,0.0359477124183007
"Niger","Africa",0.0762331838565023,0.0433482810164424
"Nigeria","Africa",0.0594059405940594,0.169554455445544
"Northern Cyprus","Europe",0.0412060301507538,0.0160804020100502
"Norway","Europe",0.062076749435666,0.0282167042889391
"Pakistan","Asia & Oceania",0.0507042253521127,0.0507042253521127
"Palestinian Territories","Middle East & North Africa",0.0250521920668059,0.0198329853862214
"Panama","Americas",0.049043062200957,0.05622009569378
"Paraguay","Americas",0.0721893491124261,0.076923076923077
"Peru","Americas",0.180571428571429,0.157714285714286
"Philippines","Asia & Oceania",0.144895718990121,0.097694840834248
"Poland","Europe",0.0619684082624545,0.0437424058323209
"Portugal","Europe",0.0510638297872342,0.0882978723404255
"Republic of Congo","Africa",0.193029490616622,0.0415549597855228
"Romania","Europe",0.106332138590203,0.0573476702508961
"Russia","Former Soviet Union",0.244595429277332,0.135886349598518
"Rwanda","Africa",0.0184956843403206,0.00863131935881638
"Saudi Arabia","Middle East & North Africa",0.0437566702241196,0.0384204909284952
"Senegal","Africa",0.15,0.1025
"Serbia","Europe",0.0812013348164628,0.0478309232480534
"Sierra Leone","Africa",0.0406779661016949,0.0463276836158193
"Singapore","Asia & Oceania",0.0289855072463768,0.0229468599033817
"Slovakia","Europe",0.0528846153846154,0.0240384615384616
"Slovenia","Europe",0.117056856187291,0.0791527313266444
"South Africa","Africa",0.0897435897435897,0.123076923076923
"South Korea","Asia & Oceania",0.0727728983688834,0.0238393977415308
"Spain","Europe",0.0530612244897958,0.0469387755102041
"Sri Lanka","Asia & Oceania",0.0689655172413793,0.0300333704115683
"Sweden","Europe",0.107966457023061,0.0251572327044025
"Switzerland","Europe",0.229189189189189,0.094054054054054
"Taiwan","Asia & Oceania",0.191555097837281,0.070030895983522
"Tajikistan","Former Soviet Union",0.0134680134680135,0.0101010101010101
"Tanzania","Africa",0.0185387131952017,0.034896401308615
"Thailand","Asia & Oceania",0.0287206266318538,0.0234986945169715
"The Gambia","Africa",0.0503225806451613,0.0529032258064517
"Togo","Africa",0.276836158192091,0.114406779661017
"Tunisia","Middle East & North Africa",0.0486935866983371,0.0332541567695964
"Turkey","Middle East & North Africa",0.066115702479339,0.0342384887839434
"Turkmenistan","Former Soviet Union",0.0437956204379561,0.0510948905109488
"Uganda","Africa",0.0893512851897184,0.130966952264382
"Ukraine","Former Soviet Union",0.170702179176756,0.0847457627118641
"United Arab Emirates","Middle East & North Africa",0.0450204638472032,0.0381991814461118
"United Kingdom","Europe",0.0793650793650794,0.0264550264550264
"United States","Americas",0.0996884735202492,0.0498442367601246
"Uruguay","Americas",0.0972972972972974,0.0702702702702703
"Uzbekistan","Former Soviet Union",0.0348314606741574,0.0134831460674158
"Venezuela","Americas",0.0373725934314835,0.0226500566251416
"Vietnam","Asia & Oceania",0.0947368421052632,0.0368421052631579
"Yemen","Middle East & North Africa",0.0387596899224806,0.0398671096345516
"Zambia","Africa",0.082777036048064,0.102803738317757
"Zimbabwe","Africa",0.041522491349481,0.0184544405997693
